PictFilePath,ProcessingSoftware,NewSubfileType,SubfileType,ImageWidth,ImageLength,BitsPerSample,Compression,PhotometricInterpretation,Thresholding,CellWidth,CellLength,FillOrder,DocumentName,ImageDescription,Make,Model,StripOffsets,Orientation,SamplesPerPixel,RowsPerStrip,StripByteCounts,MinSampleValue,MaxSampleValue,XResolution,YResolution,PlanarConfiguration,PageName,FreeOffsets,FreeByteCounts,GrayResponseUnit,GrayResponseCurve,T4Options,T6Options,ResolutionUnit,PageNumber,TransferFunction,Software,DateTime,Artist,HostComputer,Predictor,WhitePoint,PrimaryChromaticities,ColorMap,HalftoneHints,TileWidth,TileLength,TileOffsets,TileByteCounts,SubIFDs,InkSet,InkNames,NumberOfInks,DotRange,TargetPrinter,ExtraSamples,SampleFormat,SMinSampleValue,SMaxSampleValue,TransferRange,ClipPath,XClipPathUnits,YClipPathUnits,Indexed,JPEGTables,OPIProxy,JPEGProc,JpegIFOffset,JpegIFByteCount,JpegRestartInterval,JpegLosslessPredictors,JpegPointTransforms,JpegQTables,JpegDCTables,JpegACTables,YCbCrCoefficients,YCbCrSubSampling,YCbCrPositioning,ReferenceBlackWhite,XMLPacket,RelatedImageFileFormat,RelatedImageWidth,RelatedImageLength,Rating,RatingPercent,ImageID,CFARepeatPatternDim,CFAPattern,BatteryLevel,Copyright,ExposureTime,FNumber,IPTCNAA,ImageResources,ExifOffset,InterColorProfile,ExposureProgram,SpectralSensitivity,GPSInfo,ISOSpeedRatings,OECF,Interlace,TimeZoneOffset,SelfTimerMode,ExifVersion,DateTimeOriginal,DateTimeDigitized,ComponentsConfiguration,CompressedBitsPerPixel,ShutterSpeedValue,ApertureValue,BrightnessValue,ExposureBiasValue,MaxApertureValue,SubjectDistance,MeteringMode,LightSource,Flash,FocalLength,FlashEnergy,SpatialFrequencyResponse,Noise,ImageNumber,SecurityClassification,ImageHistory,SubjectLocation,ExposureIndex,TIFF/EPStandardID,MakerNote,UserComment,SubsecTime,SubsecTimeOriginal,SubsecTimeDigitized,AmbientTemperature,Humidity,Pressure,WaterDepth,Acceleration,CameraElevationAngle,XPTitle,XPComment,XPAuthor,XPKeywords,XPSubject,FlashPixVersion,ColorSpace,ExifImageWidth,ExifImageHeight,RelatedSoundFile,ExifInteroperabilityOffset,FlashEnergy,SpatialFrequencyResponse,FocalPlaneXResolution,FocalPlaneYResolution,FocalPlaneResolutionUnit,SubjectLocation,ExposureIndex,SensingMethod,FileSource,SceneType,CFAPattern,CustomRendered,ExposureMode,WhiteBalance,DigitalZoomRatio,FocalLengthIn35mmFilm,SceneCaptureType,GainControl,Contrast,Saturation,Sharpness,DeviceSettingDescription,SubjectDistanceRange,ImageUniqueID,CameraOwnerName,BodySerialNumber,LensSpecification,LensMake,LensModel,LensSerialNumber,Gamma,PrintImageMatching,DNGVersion,DNGBackwardVersion,UniqueCameraModel,LocalizedCameraModel,CFAPlaneColor,CFALayout,LinearizationTable,BlackLevelRepeatDim,BlackLevel,BlackLevelDeltaH,BlackLevelDeltaV,WhiteLevel,DefaultScale,DefaultCropOrigin,DefaultCropSize,ColorMatrix1,ColorMatrix2,CameraCalibration1,CameraCalibration2,ReductionMatrix1,ReductionMatrix2,AnalogBalance,AsShotNeutral,AsShotWhiteXY,BaselineExposure,BaselineNoise,BaselineSharpness,BayerGreenSplit,LinearResponseLimit,CameraSerialNumber,LensInfo,ChromaBlurRadius,AntiAliasStrength,ShadowScale,DNGPrivateData,MakerNoteSafety,CalibrationIlluminant1,CalibrationIlluminant2,BestQualityScale,RawDataUniqueID,OriginalRawFileName,OriginalRawFileData,ActiveArea,MaskedAreas,AsShotICCProfile,AsShotPreProfileMatrix,CurrentICCProfile,CurrentPreProfileMatrix,ColorimetricReference,CameraCalibrationSignature,ProfileCalibrationSignature,AsShotProfileName,NoiseReductionApplied,ProfileName,ProfileHueSatMapDims,ProfileHueSatMapData1,ProfileHueSatMapData2,ProfileToneCurve,ProfileEmbedPolicy,ProfileCopyright,ForwardMatrix1,ForwardMatrix2,PreviewApplicationName,PreviewApplicationVersion,PreviewSettingsName,PreviewSettingsDigest,PreviewColorSpace,PreviewDateTime,RawImageDigest,OriginalRawFileDigest,SubTileBlockSize,RowInterleaveFactor,ProfileLookTableDims,ProfileLookTableData,OpcodeList1,OpcodeList2,OpcodeList3,NoiseProfile
951.jpg,,,,,,,,,,,,,,,Canon,Canon EOS 5D Mark III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,1.4,,,98,,,,,100,,,,,,2020:09:22 09:25:15,,,,,,,,,,,,16,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EF50mm f/1.4 USM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714.jpg,,,,,,,,,,,,,,,Canon,Canon EOS 5D Mark IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,1.4,,,97,,,,,200,,,,,,2018:05:09 14:45:05,,,,,,,,,,,,9,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EF85mm f/1.4L IS USM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669.jpg,,,,,,,,,,,,,,,Canon,Canon EOS 40D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,5.6,,,90,,,,,"(400, 0)",,,,,,2009:10:22 16:58:51,,,,,,,,,,,,"(16, 0)",28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.jpg,,,,,,,,,,,,,,,SONY,ILCE-6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015625,,,,85,,,,,100,,,,,,2020:09:06 13:35:28,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,2019:08:17 03:32:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.jpg,,,,,,,,,,,,,,,Canon,Canon EOS 2000D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00125,10.0,,,92,,,,,100,,,,,,2019:06:27 22:28:42,,,,,,,,,,,,16,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70-300mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670.jpg,,,,,,,,,,,,,,,Canon,Canon EOS 80D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,9.0,,,90,,,,,100,,,,,,2020:10:19 13:52:43,,,,,,,,,,,,16,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709.jpg,,,,,,,,,,,,,,,NIKON CORPORATION,NIKON Z 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,8.0,,,98,,,,,100,,,,,,2020:05:01 15:08:39,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0-120.0 mm f/4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549.jpg,,,,,,,,,,,,,,,Canon,Canon EOS R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,1.8,,,88,,,,,100,,,,,,2020:10:17 18:02:02,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RF85mm F1.2 L USM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658.jpg,,,,,,,,,,,,,,,NIKON CORPORATION,NIKON D3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,11.0,,,100,,,,,200,,,,,,2020:07:05 19:43:51,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0-55.0 mm f/3.5-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
